name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_popularity
Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,235767,4,100
Sweet Dream,Alessia Cara,In The Meantime,3HhrQvdp1HIVluWLEgdAsV,0.734,0.538,0,-9.2,1,0.146,0.253,0.0,0.229,0.461,123.052,182255,4,81
Don't Start Now,Dua Lipa,Future Nostalgia,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,4,94
Need to Know,Doja Cat,Planet Her,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4,95
I Choose - From The Netflix Original Film The Willoughbys / Acoustic (Bonus Track),Alessia Cara,This Summer: Live Off The Floor,3duAXBgphi9PVRSf7e1QeH,0.594,0.206,0,-11.343,1,0.0345,0.775,0.0,0.136,0.485,137.44,190087,3,81
Lie To Me,Alessia Cara,In The Meantime,3vThkPv25GkMKMSnnxm3ev,0.738,0.659,2,-5.392,1,0.254,0.00184,1.04e-05,0.0352,0.577,103.96,151173,4,81
Fever,Dua Lipa,Fever,3wJVBz7gvGTwTWVAxFa6ny,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911,4,94
"I Miss You, Don't Call Me",Alessia Cara,In The Meantime,3xbiVkfxjHIpd1CVEtrJ8R,0.791,0.31,8,-10.629,1,0.0545,0.72,1.07e-06,0.0801,0.334,107.007,200988,4,81
October - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4BS8vxpM32EVqHJ31HdUUP,0.612,0.37,0,-11.823,1,0.0287,0.64,0.0,0.0981,0.384,106.883,244880,4,81
A-O-K,Tai Verdes,A-O-K,4CbrNGvwVjneG8Nk9YQqMR,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,173640,4,75
magic,Wrabel,one of those happy people,4Lii9KR73l6TbLPfgdrDsH,0.727,0.802,11,-5.176,0,0.0954,0.0431,0.000417,0.0757,0.727,99.972,205911,4,67
Wherever I Live,Alessia Cara,The Pains Of Growing,4MT0yNKM7GYPkRsk1Uvo7G,0.717,0.167,7,-12.432,1,0.102,0.936,0.0,0.127,0.594,100.813,185427,4,81
DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,4MzXwWMhyBbmu6hOcLVD49,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,98
What's On Your Mind? - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4REkFwoagazUV2dW5IFqYb,0.572,0.421,8,-11.189,1,0.126,0.411,5.49e-06,0.0722,0.666,179.96,194426,4,81
Like You - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4SKc6fzT8WBksUFCvf4CkC,0.665,0.156,4,-11.598,1,0.157,0.895,0.0,0.396,0.648,147.063,152123,4,81
Alexander Hamilton,Leslie Odom Jr.,Hamilton,4TTV7EcfroSLWzXRY6gLv6,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,236738,4,76
Out Of Love,Alessia Cara,The Pains Of Growing,4WzhjxvLP95y7AMDy0Atwb,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,227693,3,81
good 4 u,Olivia Rodrigo,SOUR,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,92
Ready - Live Off The Floor,Alessia Cara,This Summer: Live Off The Floor,4g4IV6y4OwtkPqCN56CKr9,0.454,0.279,0,-10.732,0,0.0424,0.62,0.0,0.111,0.582,140.542,183565,4,81
